pc0,pc1,pc2,pc3,source,tweet
0.0608126488273,-0.000723744731348,0.0850821233785,0.0610679200315,bot,informe sobre tanhuato corrobora uso de tortura: martnez neri
0.0608126488273,-0.000723744731333,0.0850821233784,0.0610679200326,bot,informe sobre tanhuato corrobora uso de tortura: martnez neri
0.0608126488273,-0.000723744731336,0.0850821233784,0.0610679200323,bot,informe sobre tanhuato corrobora uso de tortura: martnez neri 
0.126472560382,-0.00820888874381,-0.00410244212332,0.00512368497444,bot,se vuelve tendencia nacional en redes tras informe de cndh 
0.0117025220126,0.000645122411347,0.037596594237,0.0420641006662,bot,"""tanhuato"" was a trending topic in mexico at rank 10 for duration 1h:45m ."
0.0608126488273,-0.000723744731338,0.0850821233785,0.0610679200323,bot,informe sobre tanhuato corrobora uso de tortura: martnez neri 
0.081838800229,0.0920284121074,0.0671419175536,0.10237548499,bot,confirma cndh que polica federal ejecut a 22 en tanhuato michoacn 
-9.53313432633e-16,-7.34571269535e-16,9.69971900533e-15,-6.91989682267e-14,bot,
0.00107849048839,-4.05875202517e-05,0.000124348968408,0.000270780487045,bot,#reformenlareforma y resolvamos civilizadamente este tema por favor. 
0.0608126488273,-0.000723744731338,0.0850821233785,0.0610679200323,bot,informe sobre tanhuato corrobora uso de tortura: martnez neri
0.0608126488273,-0.000723744731339,0.0850821233785,0.0610679200322,bot,informe sobre tanhuato corrobora uso de tortura: martnez neri 
0.0378981508347,0.00166386873081,0.132310818518,0.0713633201269,bot,muy triste: tanhuato: ejecuciones extrajudiciales  
0.0574709766827,-0.000909043603822,0.0512294875058,0.0741528028443,bot,defiende cndh a criminales que atacaron a pf en tanhuato 
0.0520235334973,0.0615492912833,0.0416221814473,0.0637088402649,bot,polica federal tuvo 4 hrs para manipular escena tanhuato: cndh. con ciro gmez leyva 
0.0412162427161,4.2627660074e-05,0.0364629912897,0.0527109836226,bot,cndh no tuvo elementos tcnicos para determinar cmo perdieron la vida 15 personas en tanhuato: visitador. con ric 
0.103309059853,-0.000706034198414,0.198063772084,0.0334222275759,bot,no se puede hablar de ejecuciones extrajudiciales en tanhuato: renato sales 
